id,width,height,complete
0001742 083012 p,61,13,True
000408 111819 p,23,9,False
000411 112119 p,58,11,False
0004359 033016 p,35,13,True
002555 042513 p,55,9,False
004151 101909 p,77,25,True
004499 111315 p,61,11,False
005627 012110 p,61,13,True
007274 030116 p,59,13,True
007501 100716 p,61,13,True
008908 042709 p,56,12,False
010801 020119 p,61,13,True
0109363 102318 p,61,13,True
010953 041218 p,61,13,True
014185 100417 p,61,13,True
014735 032519 p,61,13,True
014783 101917 p,61,13,True
015441 091412 p,61,13,True
016057 091613 p,61,13,True
016165 091516 p,61,13,True
016649 111011 p,61,13,True
017070 010616 p,61,13,True
017374 020717 p,61,13,True
017635 112112 p,61,13,True
018526 030818 p,61,13,True
019462 031209 p,61,13,True
019660 042319 p,61,13,True
019747 060617 p,61,13,True
019747 090811 p,61,13,True
021033 070915 p,61,13,True
021271 101613 p,61,13,True
022198 010218 p,61,13,True
022198 091819 p,61,13,True
022702 091218 p,61,13,True
024090 040611 p,61,13,True
025179 011217 p,61,13,True
025179 092010 p,61,13,True
025271 103018 p,61,13,True
025575 082514 p,61,13,True
026071 011317 p,61,13,True
026110 042213 p,61,13,True
026110 050619 p,61,13,True
026118 041218 p,61,13,True
026118 102313 p,61,13,True
026127 012214 p,61,13,True
02650 033117 p,61,13,True
026545 012412 p,61,13,True
026610 092414 p,61,13,True
027035 082511 p,61,13,True
027098 101118 p,61,13,True
028492 060613 p,61,13,True
029560 010516 p,61,13,True
031055 100516 p,61,13,True
033168 062818 p,61,13,True
035015 030413 p,61,13,True
035015 100319 p,61,13,True
036214 022713 p,61,13,True
036220 101712 p,61,13,True
036472 012612 p,61,13,True
036574 021914 p,61,13,True
037535 041417 p,61,13,True
037621 092910 p,61,13,True
039462 102717 p,61,13,True
040153 100814 p,61,13,True
042248 102016 p,61,13,True
042598 112310 p,61,13,True
043401 082317 p,61,13,True
043521 081418 p,61,13,True
045195 011017 p,61,13,True
047475 091119 p,61,13,True
047914 092617 p,61,13,True
050414 092717 p,61,13,True
050858 110212 p,61,13,True
050952 061317 p,61,13,True
051173 092619 p,61,13,True
051282 092418  p,61,13,True
051282 092911 p,61,13,True
051282 100615  p,61,13,True
051410 111218 p,61,13,True
051481 111616 p,61,13,True
052465 060315 p,61,13,True
054966 070516 p,61,13,True
055325 110617 p,61,13,True
057259 111815 p,61,13,True
059820 103006,61,13,True
060011 021710 p,61,13,True
060011 042717 p,61,13,True
061193 091610 p,61,13,True
061479 120307 p,61,13,True
063273 022311 p,61,13,True
064768 022412 p,61,13,True
065480 102615 p,61,13,True
065583 101819 p,61,13,True
067735 092519 p,61,13,True
067859 022818 p,61,13,True
068783 012110 p,61,13,True
068783 090309 p,61,13,True
069182 033116 p,61,13,True
069448 033016 p,61,13,True
074670 031116 p,61,13,True
074670 071718 p,61,13,True
075473 090814 p,61,13,True
075498 100311 p,61,13,True
081071 110309 p,61,13,True
095674 062519 p,61,13,True
108133 082719 p,61,13,True
415134 111210 p,61,13,True
419024 070517 p,61,13,True
419024 110712 p,61,13,True
419477 092815 p,61,13,True
419790 030419 p,61,13,True
